test_type,param_value,perturb,algorithm,t or N,T_max,T_total,eval(s),errors,multiplicities
true eigenvalues,,,,,,,"[0.43991096249504935, 0.3849220921831682, 0.32993322187128704, 0.27494435155940583, 0.21995548124752468, 0.16496661093564352, 0.10997774062376234, 0.05498887031188117]",,
T_max,200,None,QPE,4,114.2628548566856,214.2428528562855,0.0,0.43991096249504935,
T_max,200,None,KQPE,4,114.2628548566856,214.2428528562855,0.0,0.43991096249504935,
T_max,200,None,QMEGS,62,200,4994.089888132578,"[-1.7728426535897928, -0.6528426535897933, -0.274842653589793, 0.4401573464102069, 1.5821573464102072, 1.6556573464102073, 2.608907346410208, 3.040907346410206]","[0.000246383915157522, 1.197235254227039, 1.3257241245389202, 2.3339629948508023, 2.8209518651626815, 1.9378092645254363, 0.7628203942135556, 0.32983152390167414]",
T_max,200,None,TSRHSE,6400,200,37556715.3380327,"[-0.1777910416292226, -0.026637054537506186, 0.1402447139741791, 0.2173917539120624, 0.2760853635378334, 0.41846957815571956, 0.5548667803436731, 0.6680682599112808]","[0.021441384339329794, 0.1699446881605049, 0.3381350380399938, 0.0011410119784275863, 0.0025637273354622847, 0.02472189696146443, 0.28776878225298497, 0.08162592484938735]",
T_max,200,None,QFAMES,6400,200,37556715.3380327,"[0.4399073464102069, 0.329907346410207, 0.10990734641020683, 0.38490734641020674, 0.05490734641020712, 0.27490734641020687, 0.164907346410207, 0.2201573464102067, 0.3536573464102069]","[3.616084842450462e-06, 1.4745772961455295e-05, 2.5875461080016038e-05, 3.700514919896536e-05, 0.00020186516268203003, 5.9264525436530935e-05, 7.039421355550801e-05, 8.152390167404794e-05]",[1 1 1 1 1 1 1 1 0]
