test_type,param_value,perturb,algorithm,t or N,T_max,T_total,eval(s),errors,multiplicities
true eigenvalues,,,,,,,"[0.43991096249504935, 0.3849220921831682, 0.32993322187128704, 0.27494435155940583, 0.21995548124752468, 0.16496661093564352, 0.10997774062376234, 0.05498887031188117]",,
T_max,200,None,QPE,4,114.2628548566856,214.2428528562855,0.0,0.43991096249504935,
T_max,200,None,KQPE,4,114.2628548566856,214.2428528562855,0.0,0.43991096249504935,
T_max,200,None,QMEGS,62,200,4994.089888132578,"[-2.871342653589793, -1.038842653589793, 0.004157346410206902, 0.3184073464102073, 0.4404073464102069, 0.9006573464102073, 1.4564073464102072, 2.604407346410207]","[0.00049638391515755, 0.5157352542270391, 0.011525875461079749, 1.1814629948508013, 2.3844518651626823, 3.0363092645254364, 1.1488203942135553, 0.050831523901674266]",
T_max,200,None,TSRHSE,6400,200,37556715.3380327,"[-0.21306365671584065, -0.06991266534339924, 0.1373809074761049, 0.18238332936880347, 0.232310107985752, 0.3924512353153623, 0.570722247873462, 0.6745759320607203]","[0.1308112853784127, 0.007529143132194105, 0.34464271018943327, 0.4880080082752465, 0.01235462673822732, 0.01741671843315995, 0.027403166852342564, 0.12490153565528041]",
T_max,200,None,QFAMES,6400,200,37556715.3380327,"[0.330157346410207, 0.3851573464102067, 0.2199073464102067, 0.05515734641020712, 0.164907346410207, 0.4396573464102069, 0.10990734641020683, 0.27490734641020687, 0.24690734641020706]","[0.00025361608484247844, 0.00023525422703851717, 0.00022412453891995643, 3.700514919896536e-05, 4.813483731797019e-05, 5.9264525436530935e-05, 7.039421355550801e-05, 0.00016847609832595228]",[1 1 1 1 1 1 1 1 0]
