test_type,param_value,perturb,algorithm,t or N,T_max,T_total,eval(s),errors,multiplicities
eps,0.1,None,QFAMES,1600,10,115284.38365363494,"[0.3234073464102071, -0.2415926535897932, 0.7584073464102069, 1.6034073464102068, -0.9215926535897929]","[0.0981992233511563, 0.49141236287388224, 0.1848336254556593, 0.03662048593293332]",[1 2 1 0 0]
eps,0.1,Small,QPE,5,175.27121840165316,339.58798565320296,0.20863744099721668,0.06524401075857977,
eps,0.1,Small,KQPE,6,350.5424368033063,690.1304224565092,0.1433934302386369,0.0,
eps,0.1,Small,QMEGS,44,10,182.46844073539296,"[-3.246592653589793, -2.076592653589793, -0.1015926535897933, 2.7034073464102066]","[0.0418007766488436, 1.6464123628738825, 2.129833625455659, 3.5333795140670667]",
eps,0.1,Small,TSRHSE,1600,10,115284.38365363494,"[-11.713574120703301, -0.8088981920146333, 1.048227480365681, 17.74409017661876]","[11.570180690464664, 0.3787179012987226, 0.4746537594111334, 17.457303316141484]",
eps,0.1,Small,QFAMES,1600,10,115284.38365363494,"[-0.16659265358979314, 0.5684073464102071, -0.596592653589793, -3.1565926535897932, -2.031592653589793]","[0.023199223351156234, 0.16641236287388228, 0.005166374544340546, 2.3183795140670664]",[1 1 1 0 0]
eps,0.1,Big,QPE,5,175.27121840165316,339.58798565320296,0.3432838719912968,0.19989044175265988,
eps,0.1,Big,KQPE,6,350.5424368033063,690.1304224565092,0.4301802907159107,0.28678686047727375,
eps,0.1,Big,QMEGS,44,10,182.46844073539296,"[-3.5315926535897932, -0.5465926535897933, -0.04659265358979303, 0.223407346410207]","[0.09680077664884387, 0.11641236287388257, 4.105166374544341, 0.06337951406706677]",
eps,0.1,Big,TSRHSE,1600,10,115284.38365363494,"[-22.032153160548233, 0.37112225611424976, 7.584925187887153, 37.320423354730416]","[37.463816784969055, 21.601972869832323, 7.011351466932606, 0.08433539563697601]",
eps,0.1,Big,QFAMES,1600,10,115284.38365363494,"[-0.44159265358979294, 0.30340734641020706, -2.391592653589793, 1.323407346410207, -1.176592653589793]","[1.0331992233511562, 0.011412362873882254, 0.7498336254556593, 0.016620485932933304]",[1 1 0 0 0]
eps,0.05,None,QPE,6,350.5424368033063,690.1304224565092,0.14339343023863688,2.7755575615628914e-17,
eps,0.05,None,KQPE,7,701.0848736066126,1391.2152960631217,0.1433934302386369,0.0,
eps,0.05,None,QMEGS,48,20,389.3212634162488,"[-2.5865926535897934, -0.784092653589793, -0.1340926535897931, 1.4609073464102074]","[0.009300776648843795, 0.3539123628738823, 0.8873336254556597, 2.873379514067067]",
eps,0.05,None,TSRHSE,1600,20,230568.76730726988,"[-0.6162531097159875, -0.16050219646373184, 0.3207076354584919, 0.7626322937220636]","[0.01710876622509494, 0.18607281900007677, 0.18905857276751603, 0.03392077498121815]",
eps,0.05,None,QFAMES,1600,20,230568.76730726988,"[0.29090734641020716, -0.43159265358979293, 0.5709073464102069, -0.14659265358979312, 0.8159073464102069]","[0.0031992233511562163, 0.0014123628738822447, 0.0026663745443407105, 0.004120485932933404]",[1 1 1 1 0]
eps,0.05,Small,QPE,6,350.5424368033063,690.1304224565092,0.21021476872984168,0.06682133849120478,
eps,0.05,Small,KQPE,7,701.0848736066126,1391.2152960631217,0.1433934302386369,0.0,
eps,0.05,Small,QMEGS,48,20,389.3212634162488,"[-2.994092653589793, -2.3440926535897932, -0.14159265358979312, 2.273407346410207]","[0.0018007766488437882, 1.9139123628738826, 1.6998336254556592, 3.280879514067067]",
eps,0.05,Small,TSRHSE,1600,20,230568.76730726988,"[-1.042978653493305, -0.2798428638404842, -0.07145621483198607, 19.34642654093645]","[0.07193721540665084, 0.1503374268754265, 18.7728528199819, 1.3297655139705786]",
eps,0.05,Small,QFAMES,1600,20,230568.76730726988,"[0.5709073464102069, -0.14159265358979312, 0.28340734641020715, -0.43409265358979293, 0.8209073464102069]","[0.0018007766488437882, 0.003912362873882247, 0.0026663745443407105, 0.0033795140670666024]",[1 1 1 1 0]
eps,0.05,Big,QPE,6,350.5424368033063,690.1304224565092,0.34686870774726275,0.20347527750862585,
eps,0.05,Big,KQPE,7,701.0848736066126,1391.2152960631217,0.4301802907159107,0.28678686047727375,
