test_type,param_value,perturb,algorithm,t or N,T_max,T_total,eval(s),errors,multiplicities
true eigenvalues,,,,,,,"[0.23561944901923454, 0.0785398163397448, 0.026179938779914945, 0.07853981633974466, 0.4188790204786397, -0.31415926535897926, -0.31415926535897926, 0.10471975511965982, -0.15707963267948963, -0.15707963267948946, -0.10471975511966004, -0.10471975511965964, -0.05235987755982985, -0.05235987755982997, 0.2094395102393196, 0.20943951023931953]",,
T_max,200,None,QPE,4,120.00000000000009,225.00000000000017,0.18325957145940444,0.0523598775598301,
T_max,200,None,KQPE,4,120.00000000000009,225.00000000000014,0.18325957145940447,0.05235987755983007,
T_max,200,None,QMEGS,62,200,4994.089888132578,"[-3.0260926535897927, -2.500842653589793, -2.3455926535897933, -2.072342653589793, -1.9308426535897931, -1.5035926535897928, -1.3145926535897932, -0.857592653589793, -0.4703426535897932, 0.23515734641020683, 0.3639073464102072, 0.6674073464102069, 1.5749073464102072, 2.064157346410207, 2.2629073464102065, 2.5536573464102075]","[0.00046210260902770917, 2.1843675300704617, 3.052272592369708, 2.4751175300704626, 0.05497167406843245, 0.15618338823081396, 0.5434333882308138, 1.959437591290547, 1.1575130209103035, 1.3465130209103033, 1.826122898470133, 1.9676228984701332, 2.4484827760299632, 2.293232776029963, 0.4579678361708873, 1.3654678361708876]",
T_max,200,None,TSRHSE,25600,200,600107512.2809855,"[-2.0990971605885984, -1.7491165474492971, -0.9692573446766408, -0.825897548915976, -0.8216378887842948, -0.7500211371612878, -0.07768657599245857, 0.008877292228660473, 0.026126452180660273, 0.1691516008766163, 0.339581123660631, 0.661767258017261, 0.8887330478730384, 0.8918684785630715, 1.3548240041199333, 1.4739058717910412]","[0.42614780899802646, 1.2762841877801885, 5.3486599254672085e-05, 1.3953660554512965, 0.0792978968180087, 0.43586187180230856, 0.5074786234253155, 0.7871487234434117, 0.6688179162364863, 0.8121777119971514, 1.644396792329637, 1.9943774054689387, 0.06123716978849032, 0.025326698432628594, 0.6792935376337188, 0.04028790936270324]",
T_max,200,None,QFAMES,25600,200,600107512.2809855,"[0.07865734641020708, -0.15709265358979324, 0.20965734641020697, -0.10459265358979303, -0.05234265358979325, -0.314092653589793, 0.02615734641020731, 0.23540734641020683, 0.10440734641020649, 0.41865734641020647, -0.13084265358979333, -0.07834265358979312, 0.05315734641020717, -0.028592653589792905, 0.18540734641020706, -0.1808426535897931, 0.002657346410206955]","[0.00021210260902770894, 0.00011753007046227948, 2.2592369707634397e-05, 0.025382469929537493, 0.00022167406843320858, 6.661176918626444e-05, 0.23581661176918614, 0.00031240870945332955, 1.3020910303612743e-05, 0.023763020910303634, 0.026122898470133285, 0.00012710152986661338, 1.7223970036596425e-05, 0.02376722397003707, 0.0002178361708873866, 0.02403216382911247]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
