test_type,param_value,perturb,algorithm,t or N,T_max,T_total,eval(s),errors,multiplicities
T_max,200,Small,QFAMES,6400,200,37556715.3380327,"[0.37065734641020703, 0.27965734641020673, 0.13115734641020685, -0.37059265358979265, -0.06759265358979294, -9.265358979304496e-05, 0.39465734641020694, 0.15590734641020715, 0.23940734641020722]","[0.0003524087432618672, 9.265358979304075e-05, 0.00041710156367641416, 0.714075563599659, 0.0006428956651847173, 0.00016124090470383268, 0.0002576525106321448, 0.025007652510632444]",[1 1 1 0 0 0 0 0 0]
T_max,200,Big,QPE,4,105.8960356668972,198.55506687543226,0.2077860120746825,0.16245423277184828,
T_max,200,Big,KQPE,4,105.8960356668972,198.55506687543226,0.11866705429736293,0.2515731905491678,
T_max,200,Big,QMEGS,62,200,4994.089888132578,"[-3.106842653589793, -2.8795926535897927, -2.6070926535897927, -1.966842653589793, -1.3633426535897932, -0.5745926535897933, 0.37040734641020706, 2.1739073464102066]","[0.9931024087432625, 2.6070926535897927, 0.0001671015636764417, 0.0999244364003416, 1.893607104334815, 1.899411240904704, 3.0104923474893672, 3.2377423474893674]",
T_max,200,Big,TSRHSE,6400,200,37556715.3380327,[],"[nan, nan, nan, nan, nan, nan, nan, nan]",
T_max,200,Big,QFAMES,6400,200,37556715.3380327,"[0.37065734641020703, 0.27965734641020723, 0.13140734641020685, 0.39490734641020697, 0.23915734641020722, 0.3446573464102072, 0.15640734641020715, 0.30615734641020664, 0.1061573464102065]","[0.6763975912567375, 0.15640734641020715, 0.00041710156367641416, 0.8193255635996588, 0.0006428956651842177, 0.3065887590952963, 0.000507652510632145, 0.02474234748936821]",[1 1 1 0 0 0 0 0 0]
T_max,400,None,QPE,5,211.7920713337944,410.34713820922667,0.3708790448246208,0.0006387999780900211,
T_max,400,None,KQPE,5,211.7920713337944,410.34713820922667,0.3708345446792592,0.0005942998327284066,
T_max,400,None,QMEGS,66,400,10841.778766057156,"[-2.6729676535897933, -2.5744676535897932, -2.481717653589793, -2.3400926535897932, -1.589717653589793, -1.545967653589793, -0.37009265358979293, 2.826407346410207]","[0.00014759125673785567, 2.3400926535897932, 2.4561671015636763, 1.0712994364003414, 2.9532678956651846, 1.522286240904704, 2.6126173474893677, 2.705367347489368]",
T_max,400,None,TSRHSE,6400,400,75113430.6760654,"[-0.504439472661652, -0.3572980023294477, -0.14149625592693874, 0.003180649323814147, 0.07682406247196195, 0.20588498387520646, 0.30120731403714185, 0.4007467336372774]","[0.012942242517083091, 0.0031806493238141515, 0.0305064887907468, 0.02977125547220033, 0.0209070719617504, 0.07406484324184963, 0.05407563142761275, 0.07498528997563175]",
