test_type,param_value,perturb,algorithm,t or N,T_max,T_total,eval(s),errors,multiplicities
true eigenvalues,,,,,,,"[0.3248957776300137, 0.30458979152813787, 0.28428380542626197, 0.26397781932438613, 0.2436718332225103, 0.22336584712063443, 0.20305986101875856, 0.18275387491688272, 0.16244788881500685, 0.14214190271313099, 0.12183591661125515, 0.10152993050937928, 0.08122394440750343, 0.06091795830562757, 0.04061197220375171, 0.020305986101875857]",,
T_max,200,None,QPE,4,154.71263684650972,290.08619408720574,0.0,0.3248957776300137,
T_max,200,None,KQPE,4,154.71263684650972,290.08619408720574,0.0,0.3248957776300137,
T_max,200,None,QMEGS,62,200,4994.089888132578,"[-3.071842653589793, -1.991342653589793, -1.7823426535897928, -1.5045926535897929, -0.814342653589793, -0.4363426535897931, -0.03284265358979324, 0.3244073464102072, 0.7534073464102069, 1.0361573464102072, 1.5366573464102071, 2.091157346410207, 2.241657346410207, 2.4921573464102074, 2.925407346410207, 3.0659073464102073]","[0.0004884312198065177, 0.44881755488206904, 0.7518735409839452, 1.2726795270858209, 1.8474855131876968, 2.018291499289573, 2.2890974853914487, 2.742653471493324, 2.9034594575952006, 3.213984556302924, 2.113178570201048, 1.8838725840991721, 1.5858165979972962, 0.8752606118954205, 0.4769546257935448, 0.053148639691669095]",
T_max,200,None,TSRHSE,25600,200,600107512.2809855,"[-1.643293601176445, -1.3160914282643434, -0.9269263640867988, -0.8624175206230529, -0.2939542072462687, -0.21298506727537045, -0.02515984921950912, 0.26291294458975223, 0.2929081011090118, 0.45933836925056165, 1.0937847694523526, 1.4682737854813874, 1.568010917801332, 1.7417090625548886, 1.985421932726588, 2.45590596828772]","[0.13444259162054795, 0.7891949779242147, 0.008624295682749805, 0.0010648747346339027, 1.2246019522588771, 1.3446450706806976, 1.53864920153613, 1.8026680578097054, 2.293458079472713, 1.785435503889576, 1.4379273448755985, 1.0284562945961782, 0.9436414650305563, 0.35487216555189627, 0.25359703947912215, 0.04546583532138498]",
T_max,200,None,QFAMES,25600,200,600107512.2809855,"[0.26390734641020713, 0.08115734641020658, 0.2234073464102071, 0.04065734641020699, 0.16240734641020704, 0.30465734641020714, 0.12190734641020662, 0.18340734641020695, 0.325907346410207, 0.018157346410207133, 0.3631573464102072, -0.017592653589793117, 0.39415734641020655, 0.42240734641020683, -0.09884265358979269, -0.06259265358979305, 2.5529073464102074]","[0.001011568780193317, 6.755488206927618e-05, 0.07887354098394522, 7.047291417899837e-05, 0.15048551318769626, 4.1499289572671794e-05, 0.21934748539144827, 0.0006534714933242314, 4.0542404799809306e-05, 0.24098455630292367, 7.142979895147228e-05, 0.16412258409917233, 6.65979972968439e-05, 0.07851061189542069, 4.537420645527729e-05, 0.002148639691668723]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
