test_type,param_value,perturb,algorithm,t or N,T_max,T_total,eval(s),errors,multiplicities
true eigenvalues,,,,,,,"[0.3248957776300137, 0.30458979152813787, 0.28428380542626197, 0.26397781932438613, 0.2436718332225103, 0.22336584712063443, 0.20305986101875856, 0.18275387491688272, 0.16244788881500685, 0.14214190271313099, 0.12183591661125515, 0.10152993050937928, 0.08122394440750343, 0.06091795830562757, 0.04061197220375171, 0.020305986101875857]",,
T_max,200,None,QPE,4,154.71263684650972,290.08619408720574,0.0,0.3248957776300137,
T_max,200,None,KQPE,4,154.71263684650972,290.08619408720574,0.0,0.3248957776300137,
T_max,200,None,QMEGS,62,200,4994.089888132578,"[-2.824592653589793, -2.206592653589793, -1.166342653589793, -0.771342653589793, -0.3848426535897933, -0.10609265358979297, 0.32540734641020713, 0.5474073464102068, 0.9036573464102068, 1.1096573464102073, 1.2869073464102072, 1.683407346410207, 1.7836573464102068, 2.300657346410207, 2.493907346410207, 3.0706573464102065]","[0.0005115687801934277, 0.24281755488206896, 0.6193735409839448, 0.8456795270858212, 1.043235513187697, 1.4600414992895727, 1.5805974853914482, 2.117903471493324, 2.3314594575952, 2.9285154436970755, 2.946428570201048, 2.308122584099172, 1.2475665979972963, 0.8322606118954206, 0.42545462579354504, 0.12639863969166884]",
T_max,200,None,TSRHSE,25600,200,600107512.2809855,"[-1.7536861633430227, -1.3590347165861907, -0.9023199113666974, -0.8014044461713009, -0.6621901980904081, -0.25549768603539474, -0.18337460661942398, 0.12609351905802113, 0.17068651343558564, 0.6788988234954997, 0.8164800764773548, 1.0400963053965153, 1.2824163159065902, 1.792115221308948, 1.853409157969174, 2.031892703941509]","[0.354003045865486, 0.5118902849492168, 0.7558124999702533, 1.018438496582204, 1.5484433880864377, 1.6300433108485397, 1.8288328429227505, 1.9364400382599054, 0.008238624620578783, 1.5011766192993217, 0.0042576024467659845, 1.0038498418760766, 0.8826283905788044, 0.7231081563960358, 0.2961096582391465, 0.20368059272129985]",
T_max,200,None,QFAMES,25600,200,600107512.2809855,"[0.08115734641020658, 0.26390734641020713, 0.16240734641020704, 0.04065734641020699, 0.2234073464102071, 0.12190734641020662, 0.30440734641020717, 0.18340734641020695, 0.325907346410207, 0.018157346410207133, 0.348407346410207, -0.018592653589792618, 0.37690734641020696, -0.04834265358979287, 0.41115734641020707, -0.0863426535897934, 0.4616573464102069]","[0.001011568780193317, 0.0001824451179306963, 0.06412354098394502, 7.047291417899837e-05, 0.13323551318769666, 4.1499289572671794e-05, 0.2080974853914485, 0.0006534714933242314, 4.0542404799809306e-05, 0.22848455630292439, 7.142979895147228e-05, 0.14987258409917215, 6.65979972968439e-05, 0.07951061189542019, 4.537420645527729e-05, 0.002148639691668723]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
